# id	opened_commit	opened_at	hypothesis	baseline_rate	review_after	outcome	note
T-00	66dc443d63335ffe3e8c797ed0c8f00c5200e5c4	2026-09-10T17:30:00Z	Restore the Sep 8 loop and delete the apparatus	14.6	10	PENDING	baseline is the Sep 10 post-hardening rate
T-01	66dc443d63335ffe3e8c797ed0c8f00c5200e5c4	2026-09-10T17:30:00Z	Monotone refinement rule (accept a strict score gain below 50%)	14.6	10	PENDING	
T-02	177029058e817647117cacbe56e90c8d6aa36f1a	2026-09-10T19:45:00Z	Compact diff view: region index, --hunk N, compact file, INFO noise filtered; writers read the diff once	1200.0	10	PENDING	baseline is the Pilot A rate after campaigns 0-1 (1,364 bytes in 68 all-in minutes)
T-03	685fc83d3133aaeb290667bdf4a57842f5c6f329	2026-09-10T20:00:00Z	Fresh-context batches of four attempts with a handoff file instead of one long writer context	1200.0	10	PENDING	measure tokens per retained byte against campaigns 0-1 (~400 tokens/byte)
T-04	dba34a3cff73b4edf38d1bd69e77acf52382cb35	2026-09-10T20:30:00Z	Lint: gotos inside #define bodies are not charged to the preceding function	1200.0	10	PENDING	removes a false unstructured-control-flow warning that blocked validate on rasterizer sibling campaigns
T-05	7df4943f7152d34b845408574ae64e80049e3e08	2026-09-10T21:15:00Z	PROVISIONAL coverage: a complete body over 2048 bytes passes validate at a quarter of its score ceiling	1200.0	10	PENDING	triggered by campaign 4 (SweepAgainstCandidates complete body at 37 percent)
T-06	5996580c6841866c99544e2bd1cb26e81fdead3a	2026-09-11T00:10:00Z	throughput compares functions on the annotation count whenever a window endpoint predates the scoreboard	1200.0	10	PENDING	fixes the -303 functions delta seen on 2026-09-10
T-07	420dbce4706fd70e5b3657ae5d6aea32fb8d2a4a	2026-09-11T06:38Z	One-call attempt cycle: quiet bc with the attempt line first, unchanged-tree guard, stall at three attempts, untruncated region index, header side-effect lines, best-attempt diffs kept, campaigns finish, 80-line skill, pre-approved read-only commands	1200.0	10	PENDING	measure tokens and minutes per campaign against campaigns 0-4 (455 B per Mtok, 16.8 B per min); targets 0.9M tokens and 25 min at 600 B
T-08	f8cf5b940cb3082e2d5f9c8d329ab92629e82784	2026-09-11T07:15Z	bc --pack prints the orientation pack under 24,000 characters (names-only evidence for a refinement, full decompilation for coverage, largest regions that fit) and a failed bc says no attempt was logged	1200.0	10	PENDING	campaign 5 batch 1 spent 4 calls paging a 43 KB pack from a spill file and 6 calls hunting attempt state after a failed build
T-09	a24dfc89a0949546002d543cc362be145aeb8e04	2026-09-11T07:45Z	bc prints new lint findings of the changed sources, staged lint says when warnings failed it, and campaigns finish refreshes the report candidates ranks from	1200.0	10	PENDING	campaigns 4 and 6 needed a lint repair after the batches; after campaign 5 the selector still ranked the finished target first
T-10	4b182107c625e72bf993c727af433d028ce9755c	2026-09-11T10:59Z	bc prints the regions changed since the last diff with their source lines; tools/decomp campaigns run drives select, start, baseline, headless writer batches (Bash-only claude -p, the skill as system prompt, pack in the prompt, final message saved as the handoff), finish and one repair without an orchestrating model	1200.0	10	PENDING	campaigns 5-7: 83 of 126 writer calls were region or source reads, 31k fixed context per batch, up to 0.91M main-session orchestration
T-11	579f56e353a0e982d584df3946622fd7f6f36c8a	2026-09-11T14:01Z	campaigns run works with claude and codex writers (--harness auto|claude|codex) and is diagnosable by a harness: --check [--live], --dry-run, --status [--json], events.jsonl, per-attempt progress lines, exit codes 0/1/2/3/130 with a next-step line	1200.0	10	PENDING	live checks: claude writer ~8k context per turn, codex writer ~18k; one real campaign per harness passed on a throwaway branch
T-12	2f16f9d25709f4ee69e0997db928b772812105ff	2026-09-11T16:14Z	claude writer transcripts (stream-json), throughput --runs report by phase and call category, report stamp reuse and a cross-process lint scan cache cut finish and start overhead, patcher builds in the background	1200.0	10	PENDING	finish 84 s -> ~64 s measured before the review fixes; start after finish 11.5 -> 6.8 s
T-13	bfa26fbc5a652389e1b7f1b299bfeab4a588bf85	2026-09-11T16:39Z	tooling the user explicitly requests is tagged [T-nn][user] and skips the tooling cap check, never the tests	1200.0	10	PENDING	user decision 2026-09-11 after the cap blocked T-12 (trailing-week tooling share 72%)
T-14	bb67b7139f845ed8a886bc138d6955dbfb5881d8	2026-09-11T16:39Z	code quality: skill says fix declared types (no cast-to-local routing), name constants, section comments, fakematch tags; lint catches any integer-to-pointer cast plus advisory repeated-macro-body and unnamed-constant rules (legacy baselined); ties keep the later attempt; one capped cleanup writer run per successful campaign (--no-cleanup); commit messages carry Tried/Open/Cleanup	1200.0	10	PENDING	quality review of 8 campaigns: none human-level; unnamed constants 8/8, wrong-type casts 5/8, copy-paste 6/8, no comments 8/8
T-15	d4335ddb81f4f2841c4e4189a3301ac582d0aafd	2026-09-11T18:37Z	bc --hunk prints source lines in windows around referenced lines; a per-batch seen set lets the attempt view add the largest unseen region; skill: no {...} literals in edit heredocs, bc on a measured tree names its attempt	1200.0	10	PENDING	run 10: 13 of 22 hunk fetches were unseen index picks, 17 source reads; run 12: dict literals denied the cleanup edit
T-17	92d43a27786ee5aa5a13049a4935075ad0c13b1a	2026-09-11T18:37Z	campaigns run refreshes build/decomp-report.html after a run that committed a gain (--no-report skips it)	1200.0	10	PENDING	user asked for regular HTML report updates
T-16	bdd073023680745a3c9c8a1875517f0a752442f3	2026-09-11T18:37Z	the yield queue and rank scale a target's opportunity by clamp(last campaign bytes per attempt / 60, 0.3, 1.0)	1200.0	10	PENDING	ledger: first passes 45-183 B/attempt, revisits 23-48; runs 11-12 spent 32 min on two revisits for 503 B
T-18	0a18b0d4b2a055a973962c2b94179a2a879a7fc5	2026-09-11T20:54Z	the batch pack carries the target function's whole current source (up to 30,000 chars) and pack regions go asm-only; cleanup prompt shows the (line, text) tuple form	1200.0	10	PENDING	run 14: 7 of 16 sed reads were inside the target function (35k chars of tool output)
