# Known non-source-fixable comparison caps.
#
# One row per retail function whose residual diff a cap in codegen-caps.md
# explains. A row means the reconstruction is already correct and the remaining
# percentage is a toolchain artifact. `tools/decomp candidates` sinks these, so
# no later session offers them again as fresh work.
#
# Add a row only after you have tested at least two credible source forms and
# the diff did not move. Cite the cap ID from codegen-index.md.
#
# address	cap-id	score	date	note
0x004A3980	CAP-14	30.18	2026-07-26	table-loaded pointer stays in EAX, retail moves it to ECX
0x004CAB80	CAP-03	40.74	2026-07-28	node visibility flags: retail keeps creature in EDI and flags in ESI, build keeps creature in ESI and uses EDI as scratch, 3 forms tested
0x00403640	CAP-15	76.19	2026-07-26	angle-wrap region re-reads the field where the build CSEs it
0x00405C80	CAP-15	90.48	2026-07-28	frame rewind: build keeps frame[1] in DL, retail compares memory and reloads it, 3 natural forms tested
0x004BCAD0	CAP-16	38.10	2026-07-26	vertex-copy loop: retail unrolls the constant-3 REP MOVSD loop, build keeps it counted (running pointers match)
0x004BCC70	CAP-15	87.16	2026-07-27	viewport->clip-rect: build CSEs the right param load into ECX where retail re-reads [esp+0x20] per use; cascade reorders the V/H conditional blocks (clamp/scale blocks all match)
0x004B6040	CAP-17	97.12	2026-07-27	triangle strip: loop-invariant count-3 init hoisted as LEA+EDX load vs retail late MOV EBX+SUB; 4 forms tested
0x00407150	CAP-18	84.62	2026-07-27	parallel-walked creature cursor: MSVC anchors on store-target &entCtrl, retail on read-source &creatureId; actor side matches; 3 forms tested
0x004C14A0	CAP-19	36.52	2026-07-28	triangle-list dispatch: maskedTexData in EBP vs retail EBX; count register-kept vs retail EBP-spilled; negative-offset index strip vs 3x bump; 5 forms tested
0x004C5490	CAP-09	17.86	2026-07-28	untextured subtractive 555 span: retail keeps an EBP frame with zero locals and spills all three colour accumulators plus the counter into the incoming parameter slots; the build compiles FPO and register-keeps two of them. Core per-pixel mask/subtract/clamp/recombine sequence matches instruction for instruction. 3 forms tested (fresh locals, parameter reuse, running-sum output; the last two each gained)
0x004C55B0	CAP-09	20.91	2026-07-28	565 twin of 0x004C5490, same whole-frame divergence and same matching per-pixel core
