# address	status	binary	raw-score	source-debt	origin	uncertainty	revisit-trigger	tested-scores	before-score	after-score	eliminated-source-defect	audit-state	freeze-scope	tested-forms
0x00401000	provisional	partial	79.07	clean	manual-audit	The event codes, caller, actor fields, sound calls, loop behavior, and reset path agree. VC6 selects different registers and equivalent loop arithmetic.	Revisit when another event-track helper confirms the original local declaration order.	68.29,79.07	-	-	-	audited	-	-
0x004011D0	provisional	partial	48.03	clean	manual-audit	The state table, event tracks, field offsets, callers, and branches confirm the behavior. VC6 selects different long-lived registers and equivalent branch layouts.	Revisit when another Buzz animation routine confirms the original local declaration order.	48.03	-	-	-	audited	sub-50	-
0x00401A00	provisional	partial	61.22	clean	manual-audit	The text wrapping and control-code semantics agree. VC6 assigns the input, output, and line cursors to different registers.	Revisit when a related text wrapper identifies the original cursor declaration order.	40.86,48.73,42.27,61.22	-	-	-	audited	-	-
0x00401C30	provisional	partial	72.94	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00401FB0	provisional	partial	33.33	clean	deep-audit-2026-07-29	Renderer::DrawString: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	33.33	-	-	-	audited	sub-50	-
0x00402030	provisional	partial	33.33	clean	deep-audit-2026-07-29	Toy2::Camera::InitCutsceneCamera: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	33.33	-	-	-	audited	sub-50	-
0x004025C0	provisional	partial	55.38	clean	CAP-26	token dialogue table loader: retail anchors the destination cursor on dialogueRecordIndex, while the build anchors it on subtitle. The zero fill, serialized source walk, sentinel, four typed field stores, and 10-entry bound agree. A raw negative-index copy can force the retail anchor but is not credible source	revisit if new caller, type, or source-form evidence explains the recorded CAP-26 mismatch	54.55	-	-	-	audited	former-cap	-
0x00403450	provisional	partial	72.51	clean	deep-audit-2026-07-29	Toy2::Camera::InitGameplayCamera: render-command, vertex, or matrix evaluation structure remains unresolved after caller, callee, and data-access review	revisit when there is an exact sibling or confirmed layout that fixes the command fields and evaluation order	72.51	-	-	-	audited	-	-
0x00403640	provisional	partial	76.19	clean	CAP-15	angle-wrap region re-reads the field where the build CSEs it	revisit if new caller, type, or source-form evidence explains the recorded CAP-15 mismatch	76.19	-	-	-	audited	former-cap	-
0x00405860	provisional	partial	85.09	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00405C80	provisional	partial	90.48	clean	CAP-15	frame rewind: build keeps frame[1] in DL, retail compares memory and reloads it, 3 natural forms tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-15 mismatch	90.48	-	-	-	audited	former-cap	-
0x00405D20	provisional	partial	76.00	clean	initial-audit	binary or source model is not verified	recheck ABI, layout, control flow, and natural source forms	-	-	-	-	pending	-	-
0x00406620	provisional	partial	65.02	clean	manual-audit	The ABI, typed actor fields, attack timer, collision sweep, beam and effect calls, frame-pulse gates, Buzz damage check, constants, and side-effect order agree. Retail and the build schedule the 3D and 4D beam-vector views differently, which changes register allocation through the effect tail.	Revisit if a recovered shared vector alias or an exact beam-and-collision sibling identifies the original direction initialization form.	65.02,64.36,64.41	-	-	-	audited	-	-
0x004068E0	effective	effective	37.04	clean	manual-audit	reccmp classifies all 27 instructions and branches as effective; VC6 exchanges ECX and EDX for the zero value and movement-data pointer	revisit if a natural source form changes only the ECX and EDX register allocation while preserving the typed control flow	37.04	-	-	-	audited	sub-50	-
0x00406A90	provisional	partial	75.97	clean	manual-audit	The ABI, typed actor fields, angle clamp, collision vectors, particle calls, lifetime calculation, random-byte consumption, and side-effect order agree. Retail reserves a 0x24-byte frame and places the movement and scale locals eight bytes later; the build reserves 0x1C bytes and schedules the actor-position and Buzz-target loads differently. Aggregate, explicit-field, separated-position, and hoisted-declaration forms did not reproduce the retail frame.	Revisit if an exact sibling impact effect or source evidence identifies the original collision-vector and scalar declaration order.	65.16,74.43,62.67,64.88,75.97	-	-	-	audited	-	-
0x00406CD0	provisional	partial	80.00	clean	manual-audit	InitActor copies the creature state, preserves the boss flag during respawn, resets the actor state, and selects the behavior and visibility for creature IDs 1 through 62. Retail uses one direct jump table. VC6 uses a byte dispatch table and a second jump table for this source. The callback targets and branches agree.	Revisit if a natural switch form makes VC6 use the retail direct jump table without a behavior change.	62.14,66.14,78.37,80.00	-	-	-	audited	-	-
0x00407150	provisional	partial	84.62	clean	CAP-18	parallel-walked creature cursor: MSVC anchors on store-target &entCtrl, retail on read-source &creatureId; actor side matches; 3 forms tested	revisit if new caller, type, or source-form evidence explains the recorded CAP-18 mismatch	84.62	-	-	-	audited	former-cap	-
0x004071E0	provisional	partial	92.02	clean	deep-audit-2026-07-29	Toy2::Buzz::HandleDamage: game-state field roles and source-level branch structure remain unresolved after caller and callee review	revisit when there is a reconstructed caller, callee, or state record that assigns the remaining fields and branches	92.02	-	-	-	audited	-	-
0x00407440	provisional	partial	47.32	clean	manual-audit	Toy2::Game::ActorCollisionCheck: the null-terminated actor walk, broad and rotated collision-volume tests, attack selection, interaction flag, and actor and Buzz damage calls agree. Retail assigns the dense fixed-point intermediates to different registers and stack homes	Revisit when a related collision handler or original type evidence fixes the local declaration and expression evaluation order	44.88,47.32	0.00	47.32	empty body and untyped actor collision and damage behavior	audited	sub-50	-
0x004086F0	provisional	partial	62.48	clean	manual-audit	Toy2::Game::UpdateActors: the creature scan, camera-distance list, cull and compact passes, AI update, ordered death particles, and actor removal agree. Retail assigns the zero and excluded-actor sentinels to different callee-saved registers and selects different list-walk register homes	Revisit when a related actor-list update or original source evidence fixes the local declaration and list-walk order	37.05,53.75,62.48,61.11	0.00	62.48	empty body and unsequenced random-stream updates in death-particle coordinates	audited	-	-
0x00408D30	provisional	partial	80.24	clean	deep-audit-2026-07-29	D3DApp::EnumerateDevices: Win32 or DirectX callback ABI, device-record typing, or branch ordering remains unresolved after call-site review	revisit when there is a typed neighboring callback or device record that fixes the disputed ABI or field role	80.24	-	-	-	audited	-	-
