# Permanent tool-only comparison artifacts.
#
# A row is valid only when tools/decomp validate confirms that each changed
# instruction differs only in the rendered data symbol. Register, frame, stack,
# control-flow, and instruction-order differences are not tool artifacts.
#
# address	artifact-id	last-score	verified-date	note
0x00402610	TOOL-SYMBOL	98.15	2026-07-30	The one-past token-table bound and the subtitle color immediate resolve to unrelated nearby data labels. The instruction bytes match.
0x004027F0	TOOL-SYMBOL	99.21	2026-07-29	The literal color value resolves to an unrelated data label. The instruction bytes match.
0x00414A80	TOOL-SYMBOL	94.12	2026-07-31	The one-past creature actor field bound resolves to an unrelated nearby data label. The instruction bytes match.
0x0041C100	TOOL-SYMBOL	97.96	2026-07-30	The one-past hidden-collectible state bound resolves to an unrelated nearby data label. The instruction bytes match.
0x0041E300	TOOL-SYMBOL	97.96	2026-07-30	The one-past hidden-collectible state bound resolves to an unrelated nearby data label. The instruction bytes match.
0x00429CE0	TOOL-SYMBOL	97.96	2026-07-30	The one-past hidden-collectible state bound resolves to an unrelated nearby data label. The instruction bytes match.
0x0043ACA0	TOOL-SYMBOL	99.40	2026-07-30	The special-track byte resolves through different nearby array elements. The instruction bytes match.
0x0043AED0	TOOL-SYMBOL	99.13	2026-07-30	The special-track byte resolves through different nearby array elements. The instruction bytes match.
0x004A3BC0	TOOL-SYMBOL	83.33	2026-07-31	The one-past looping-sound channel bound resolves to an unrelated nearby data label. The instruction bytes match.
0x004A4910	TOOL-SYMBOL	95.45	2026-07-28	one-past particle-array bound uses a different adjacent data label
0x004A4D60	TOOL-SYMBOL	98.33	2026-07-28	one-past particle-array bound uses a different adjacent data label
0x004A4E60	TOOL-SYMBOL	96.00	2026-07-28	one-past particle-array bound uses a different adjacent data label
0x004A62A0	TOOL-SYMBOL	98.00	2026-07-28	one-past particle-array bound uses a different adjacent data label
0x004BB0E0	TOOL-SYMBOL	80.00	2026-07-31	The one-before-array texture-record base resolves to unrelated nearby data labels. The instructions match.
0x004BB540	TOOL-SYMBOL	90.91	2026-07-30	The one-before-array texture-record base resolves to unrelated nearby data labels. The instruction bytes match.
0x004BB590	TOOL-SYMBOL	91.67	2026-07-30	The one-before-array texture-record base resolves to unrelated nearby data labels. The instruction bytes match.
0x004BB5E0	TOOL-SYMBOL	97.06	2026-07-31	The one-before-array texture-record base resolves to unrelated nearby data labels. The instructions match.
0x004BB690	TOOL-SYMBOL	92.86	2026-07-31	The one-before-array texture-record base resolves to unrelated nearby data labels. The instructions match.
0x004BB6C0	TOOL-SYMBOL	90.00	2026-07-31	The one-before-array texture-record base resolves to unrelated nearby data labels. The instructions match.
0x004DBB80	TOOL-SYMBOL	94.74	2026-07-28	time-scale constant uses a different nearby data label
